date,mode,mode_name,type_of_service,upt
2017-08-01,DR,Demand Response,DO,
2017-08-01,DR,Demand Response,PT,62779.0
2017-09-01,DR,Demand Response,DO,
2017-09-01,DR,Demand Response,PT,53123.0
2017-10-01,DR,Demand Response,DO,
2017-10-01,DR,Demand Response,PT,63624.0
2017-11-01,DR,Demand Response,DO,
2017-11-01,DR,Demand Response,PT,59601.0
2017-12-01,DR,Demand Response,DO,
2017-12-01,DR,Demand Response,PT,56454.0
2018-01-01,DR,Demand Response,DO,
2018-01-01,DR,Demand Response,PT,55810.0
2018-02-01,DR,Demand Response,DO,
2018-02-01,DR,Demand Response,PT,56738.0
2018-03-01,DR,Demand Response,DO,
2018-03-01,DR,Demand Response,PT,64629.0
2018-04-01,DR,Demand Response,DO,
2018-04-01,DR,Demand Response,PT,61786.0
2018-05-01,DR,Demand Response,DO,
2018-05-01,DR,Demand Response,PT,66214.0
2018-06-01,DR,Demand Response,DO,
2018-06-01,DR,Demand Response,PT,63648.0
2018-07-01,DR,Demand Response,DO,
2018-07-01,DR,Demand Response,PT,62749.0
2018-08-01,DR,Demand Response,DO,
2018-08-01,DR,Demand Response,PT,69497.0
2018-09-01,DR,Demand Response,DO,
2018-09-01,DR,Demand Response,PT,62288.0
2018-10-01,DR,Demand Response,DO,
2018-10-01,DR,Demand Response,PT,68688.0
2018-11-01,DR,Demand Response,DO,
2018-11-01,DR,Demand Response,PT,62078.0
2018-12-01,DR,Demand Response,DO,
2018-12-01,DR,Demand Response,PT,63535.0
2019-01-01,DR,Demand Response,DO,
2019-01-01,DR,Demand Response,PT,66723.0
2019-02-01,DR,Demand Response,DO,
2019-02-01,DR,Demand Response,PT,67465.0
2019-03-01,DR,Demand Response,DO,
2019-03-01,DR,Demand Response,PT,74075.0
2019-04-01,DR,Demand Response,DO,
2019-04-01,DR,Demand Response,PT,72358.0
2019-05-01,DR,Demand Response,DO,
2019-05-01,DR,Demand Response,PT,71489.0
2019-06-01,DR,Demand Response,DO,
2019-06-01,DR,Demand Response,PT,67937.0
2019-07-01,DR,Demand Response,DO,
2019-07-01,DR,Demand Response,PT,67495.0
2019-08-01,DR,Demand Response,DO,
2019-08-01,DR,Demand Response,PT,69581.0
2019-09-01,DR,Demand Response,DO,
2019-09-01,DR,Demand Response,PT,66344.0
2019-10-01,DR,Demand Response,DO,
2019-10-01,DR,Demand Response,PT,72663.0
2019-11-01,DR,Demand Response,DO,
2019-11-01,DR,Demand Response,PT,64533.0
2019-12-01,DR,Demand Response,DO,
2019-12-01,DR,Demand Response,PT,63912.0
2020-01-01,DR,Demand Response,DO,
2020-01-01,DR,Demand Response,PT,68433.0
2020-02-01,DR,Demand Response,DO,
2020-02-01,DR,Demand Response,PT,65285.0
2020-03-01,DR,Demand Response,DO,
2020-03-01,DR,Demand Response,PT,46240.0
2020-04-01,DR,Demand Response,DO,
2020-04-01,DR,Demand Response,PT,22593.0
2020-05-01,DR,Demand Response,DO,
2020-05-01,DR,Demand Response,PT,28651.0
2020-06-01,DR,Demand Response,DO,
2020-06-01,DR,Demand Response,PT,34236.0
2020-07-01,DR,Demand Response,DO,
2020-07-01,DR,Demand Response,PT,35701.0
2020-08-01,DR,Demand Response,DO,
2020-08-01,DR,Demand Response,PT,32461.0
2020-09-01,DR,Demand Response,DO,
2020-09-01,DR,Demand Response,PT,33117.0
2020-10-01,DR,Demand Response,DO,
2020-10-01,DR,Demand Response,PT,38495.0
2020-11-01,DR,Demand Response,DO,
2020-11-01,DR,Demand Response,PT,36392.0
2020-12-01,DR,Demand Response,DO,
2020-12-01,DR,Demand Response,PT,35691.0
2021-01-01,DR,Demand Response,DO,
2021-01-01,DR,Demand Response,PT,31714.0
2021-02-01,DR,Demand Response,DO,
2021-02-01,DR,Demand Response,PT,31624.0
2021-03-01,DR,Demand Response,DO,
2021-03-01,DR,Demand Response,PT,37076.0
2021-04-01,DR,Demand Response,DO,
2021-04-01,DR,Demand Response,PT,37763.0
2021-05-01,DR,Demand Response,DO,
2021-05-01,DR,Demand Response,PT,36922.0
2021-06-01,DR,Demand Response,DO,
2021-06-01,DR,Demand Response,PT,40579.0
2021-07-01,DR,Demand Response,DO,
2021-07-01,DR,Demand Response,PT,41251.0
2021-08-01,DR,Demand Response,DO,
2021-08-01,DR,Demand Response,PT,43140.0
2021-09-01,DR,Demand Response,DO,
2021-09-01,DR,Demand Response,PT,42091.0
2021-10-01,DR,Demand Response,DO,
2021-10-01,DR,Demand Response,PT,44452.0
2021-11-01,DR,Demand Response,DO,
2021-11-01,DR,Demand Response,PT,42683.0
2021-12-01,DR,Demand Response,DO,
2021-12-01,DR,Demand Response,PT,43266.0
2022-01-01,DR,Demand Response,DO,
2022-01-01,DR,Demand Response,PT,38459.0
2022-02-01,DR,Demand Response,DO,
2022-02-01,DR,Demand Response,PT,40836.0
2022-03-01,DR,Demand Response,DO,
2022-03-01,DR,Demand Response,PT,50266.0
2022-04-01,DR,Demand Response,DO,
2022-04-01,DR,Demand Response,PT,50126.0
2022-05-01,DR,Demand Response,DO,
2022-05-01,DR,Demand Response,PT,51018.0
2022-06-01,DR,Demand Response,DO,
2022-06-01,DR,Demand Response,PT,50374.0
2022-07-01,DR,Demand Response,DO,
2022-07-01,DR,Demand Response,PT,49692.0
2022-08-01,DR,Demand Response,DO,
2022-08-01,DR,Demand Response,PT,56436.0
2022-09-01,DR,Demand Response,DO,
2022-09-01,DR,Demand Response,PT,55813.0
2022-10-01,DR,Demand Response,DO,
2022-10-01,DR,Demand Response,PT,56700.0
2022-11-01,DR,Demand Response,DO,
2022-11-01,DR,Demand Response,PT,54109.0
2022-12-01,DR,Demand Response,DO,
2022-12-01,DR,Demand Response,PT,52283.0
2023-01-01,DR,Demand Response,DO,
2023-01-01,DR,Demand Response,PT,55519.0
2023-02-01,DR,Demand Response,DO,
2023-02-01,DR,Demand Response,PT,55547.0
2023-03-01,DR,Demand Response,DO,
2023-03-01,DR,Demand Response,PT,63938.0
2023-04-01,DR,Demand Response,DO,
2023-04-01,DR,Demand Response,PT,59448.0
2023-05-01,DR,Demand Response,DO,
2023-05-01,DR,Demand Response,PT,62774.0
2023-06-01,DR,Demand Response,DO,
2023-06-01,DR,Demand Response,PT,61628.0
2023-07-01,DR,Demand Response,DO,
2023-07-01,DR,Demand Response,PT,60802.0
2023-08-01,DR,Demand Response,DO,
2023-08-01,DR,Demand Response,PT,65358.0
2023-09-01,DR,Demand Response,DO,
2023-09-01,DR,Demand Response,PT,61048.0
2023-10-01,DR,Demand Response,DO,
2023-10-01,DR,Demand Response,PT,62504.0
2023-11-01,DR,Demand Response,DO,
2023-11-01,DR,Demand Response,PT,59528.0
2023-12-01,DR,Demand Response,DO,
2023-12-01,DR,Demand Response,PT,58134.0
2024-01-01,DR,Demand Response,DO,
2024-01-01,DR,Demand Response,PT,60685.0
2024-02-01,DR,Demand Response,DO,
2024-02-01,DR,Demand Response,PT,63107.0
2024-03-01,DR,Demand Response,DO,
2024-03-01,DR,Demand Response,PT,66988.0
2024-04-01,DR,Demand Response,DO,
2024-04-01,DR,Demand Response,PT,65782.0
2024-05-01,DR,Demand Response,DO,
2024-05-01,DR,Demand Response,PT,69146.0
2024-06-01,DR,Demand Response,DO,
2024-06-01,DR,Demand Response,PT,66015.0
2024-07-01,DR,Demand Response,DO,
2024-07-01,DR,Demand Response,PT,70054.0
2024-08-01,DR,Demand Response,DO,
2024-08-01,DR,Demand Response,PT,74404.0
2024-09-01,DR,Demand Response,DO,
2024-09-01,DR,Demand Response,PT,64214.0
2024-10-01,DR,Demand Response,DO,
2024-10-01,DR,Demand Response,PT,77840.0
2024-11-01,DR,Demand Response,DO,
2024-11-01,DR,Demand Response,PT,63796.0
2024-12-01,DR,Demand Response,DO,
2024-12-01,DR,Demand Response,PT,63307.0
2025-01-01,DR,Demand Response,DO,
2025-01-01,DR,Demand Response,PT,57014.0
2025-02-01,DR,Demand Response,DO,
2025-02-01,DR,Demand Response,PT,62053.0
2025-03-01,DR,Demand Response,DO,
2025-03-01,DR,Demand Response,PT,68161.0
2025-04-01,DR,Demand Response,DO,
2025-04-01,DR,Demand Response,PT,72358.0
2025-05-01,DR,Demand Response,DO,
2025-05-01,DR,Demand Response,PT,73763.0
2025-06-01,DR,Demand Response,DO,
2025-06-01,DR,Demand Response,PT,66594.0
2025-07-01,DR,Demand Response,DO,
2025-07-01,DR,Demand Response,PT,68494.0
2025-08-01,DR,Demand Response,DO,
2025-08-01,DR,Demand Response,PT,74786.0
2025-09-01,DR,Demand Response,DO,
2025-09-01,DR,Demand Response,PT,66775.0
2025-10-01,DR,Demand Response,DO,
2025-10-01,DR,Demand Response,PT,68554.0
2025-11-01,DR,Demand Response,DO,
2025-11-01,DR,Demand Response,PT,59683.0
2025-12-01,DR,Demand Response,DO,
2025-12-01,DR,Demand Response,PT,62732.0
2026-01-01,DR,Demand Response,DO,
2026-01-01,DR,Demand Response,PT,57602.0
2026-02-01,DR,Demand Response,DO,
2026-02-01,DR,Demand Response,PT,61687.0
2002-01-01,HR,Heavy Rail,DO,6767476.0
2002-02-01,HR,Heavy Rail,DO,6231858.0
2002-03-01,HR,Heavy Rail,DO,6672222.0
2002-04-01,HR,Heavy Rail,DO,6626629.0
2002-05-01,HR,Heavy Rail,DO,7014024.0
2002-06-01,HR,Heavy Rail,DO,6338135.0
2002-07-01,HR,Heavy Rail,DO,6707662.0
2002-08-01,HR,Heavy Rail,DO,6764336.0
2002-09-01,HR,Heavy Rail,DO,6208143.0
2002-10-01,HR,Heavy Rail,DO,7198159.0
2002-11-01,HR,Heavy Rail,DO,5793149.0
2002-12-01,HR,Heavy Rail,DO,5560006.0
2003-01-01,HR,Heavy Rail,DO,5515722.0
2003-02-01,HR,Heavy Rail,DO,5224149.0
2003-03-01,HR,Heavy Rail,DO,6034073.0
2003-04-01,HR,Heavy Rail,DO,5691136.0
2003-05-01,HR,Heavy Rail,DO,5840575.0
2003-06-01,HR,Heavy Rail,DO,5797586.0
2003-07-01,HR,Heavy Rail,DO,6056419.0
2003-08-01,HR,Heavy Rail,DO,5546309.0
2003-09-01,HR,Heavy Rail,DO,5858108.0
2003-10-01,HR,Heavy Rail,DO,6215903.0
2003-11-01,HR,Heavy Rail,DO,5443612.0
2003-12-01,HR,Heavy Rail,DO,5389577.0
2004-01-01,HR,Heavy Rail,DO,5715702.0
2004-02-01,HR,Heavy Rail,DO,4935564.0
2004-03-01,HR,Heavy Rail,DO,5942906.0
2004-04-01,HR,Heavy Rail,DO,5659755.0
2004-05-01,HR,Heavy Rail,DO,5532730.0
2004-06-01,HR,Heavy Rail,DO,6057393.0
2004-07-01,HR,Heavy Rail,DO,6230688.0
2004-08-01,HR,Heavy Rail,DO,6421516.0
2004-09-01,HR,Heavy Rail,DO,6016642.0
2004-10-01,HR,Heavy Rail,DO,6354015.0
2004-11-01,HR,Heavy Rail,DO,5895417.0
2004-12-01,HR,Heavy Rail,DO,5403231.0
2005-01-01,HR,Heavy Rail,DO,5602016.0
2005-02-01,HR,Heavy Rail,DO,5636840.0
2005-03-01,HR,Heavy Rail,DO,6276205.0
2005-04-01,HR,Heavy Rail,DO,5728639.0
2005-05-01,HR,Heavy Rail,DO,5614259.0
2005-06-01,HR,Heavy Rail,DO,5806103.0
2005-07-01,HR,Heavy Rail,DO,6047813.0
