NAME,B08301_001E,B08301_003E,B08301_010E,state,county,tract
Census Tract 234.42; DeKalb County; Georgia,1591,899,0,13,089,023442
Census Tract 234.43; DeKalb County; Georgia,3009,2041,0,13,089,023443
Census Tract 234.44; DeKalb County; Georgia,989,771,13,13,089,023444
Census Tract 234.45; DeKalb County; Georgia,1576,1087,46,13,089,023445
Census Tract 234.46; DeKalb County; Georgia,1079,694,69,13,089,023446
Census Tract 234.47; DeKalb County; Georgia,954,702,0,13,089,023447
Census Tract 234.48; DeKalb County; Georgia,1319,901,0,13,089,023448
Census Tract 235.01; DeKalb County; Georgia,1655,1075,224,13,089,023501
Census Tract 235.04; DeKalb County; Georgia,1174,680,70,13,089,023504
Census Tract 235.05; DeKalb County; Georgia,1182,799,16,13,089,023505
Census Tract 235.06; DeKalb County; Georgia,2459,1455,152,13,089,023506
Census Tract 235.07; DeKalb County; Georgia,1184,796,114,13,089,023507
Census Tract 236.01; DeKalb County; Georgia,1227,658,42,13,089,023601
Census Tract 236.02; DeKalb County; Georgia,842,529,13,13,089,023602
Census Tract 236.03; DeKalb County; Georgia,1307,912,57,13,089,023603
Census Tract 237.01; DeKalb County; Georgia,2002,1272,16,13,089,023701
Census Tract 237.02; DeKalb County; Georgia,1523,1062,92,13,089,023702
Census Tract 238.01; DeKalb County; Georgia,2992,1861,78,13,089,023801
Census Tract 238.02; DeKalb County; Georgia,1298,799,66,13,089,023802
Census Tract 238.03; DeKalb County; Georgia,2463,1632,17,13,089,023803
Census Tract 9800; DeKalb County; Georgia,0,0,0,13,089,980000
Census Tract 1; Fulton County; Georgia,2808,1687,0,13,121,000100
Census Tract 2.01; Fulton County; Georgia,1401,860,26,13,121,000201
Census Tract 2.02; Fulton County; Georgia,2057,798,14,13,121,000202
Census Tract 4; Fulton County; Georgia,1213,573,66,13,121,000400
Census Tract 5.01; Fulton County; Georgia,4331,1911,91,13,121,000501
Census Tract 5.02; Fulton County; Georgia,1386,667,31,13,121,000502
Census Tract 6.01; Fulton County; Georgia,3284,879,210,13,121,000601
Census Tract 6.02; Fulton County; Georgia,1965,783,172,13,121,000602
Census Tract 7; Fulton County; Georgia,665,400,11,13,121,000700
Census Tract 10.01; Fulton County; Georgia,3545,1053,42,13,121,001001
Census Tract 10.02; Fulton County; Georgia,2212,622,57,13,121,001002
Census Tract 11.01; Fulton County; Georgia,2665,961,53,13,121,001101
Census Tract 11.02; Fulton County; Georgia,3055,1136,280,13,121,001102
Census Tract 12.03; Fulton County; Georgia,2163,1329,109,13,121,001203
Census Tract 12.04; Fulton County; Georgia,1881,802,28,13,121,001204
Census Tract 12.05; Fulton County; Georgia,1523,534,185,13,121,001205
Census Tract 12.06; Fulton County; Georgia,3056,1271,189,13,121,001206
Census Tract 13.01; Fulton County; Georgia,1927,827,15,13,121,001301
Census Tract 13.02; Fulton County; Georgia,1311,725,47,13,121,001302
Census Tract 14; Fulton County; Georgia,1798,758,18,13,121,001400
Census Tract 15.01; Fulton County; Georgia,1642,879,44,13,121,001501
Census Tract 15.02; Fulton County; Georgia,1418,740,12,13,121,001502
Census Tract 16; Fulton County; Georgia,1912,695,61,13,121,001600
Census Tract 17.01; Fulton County; Georgia,1076,454,0,13,121,001701
Census Tract 17.02; Fulton County; Georgia,3039,1500,8,13,121,001702
Census Tract 18.01; Fulton County; Georgia,1194,507,28,13,121,001801
Census Tract 18.02; Fulton County; Georgia,1524,796,57,13,121,001802
