date,mode,mode_name,upt
2020-06-01,SR,Streetcar,4583.0
2020-07-01,SR,Streetcar,5713.0
2020-08-01,SR,Streetcar,6387.0
2020-09-01,SR,Streetcar,6155.0
2020-10-01,SR,Streetcar,6596.0
2020-11-01,SR,Streetcar,5831.0
2020-12-01,SR,Streetcar,5106.0
2021-01-01,SR,Streetcar,5612.0
2021-02-01,SR,Streetcar,5498.0
2021-03-01,SR,Streetcar,7349.0
2021-04-01,SR,Streetcar,9426.0
2021-05-01,SR,Streetcar,10617.0
2021-06-01,SR,Streetcar,11869.0
2021-07-01,SR,Streetcar,14313.0
2021-08-01,SR,Streetcar,10699.0
2021-09-01,SR,Streetcar,10318.0
2021-10-01,SR,Streetcar,9942.0
2021-11-01,SR,Streetcar,9432.0
2021-12-01,SR,Streetcar,9774.0
2022-01-01,SR,Streetcar,7022.0
2022-02-01,SR,Streetcar,10704.0
2022-03-01,SR,Streetcar,12278.0
2022-04-01,SR,Streetcar,13415.0
2022-05-01,SR,Streetcar,14391.0
2022-06-01,SR,Streetcar,15847.0
2022-07-01,SR,Streetcar,18634.0
2022-08-01,SR,Streetcar,16905.0
2022-09-01,SR,Streetcar,16796.0
2022-10-01,SR,Streetcar,16209.0
2022-11-01,SR,Streetcar,13423.0
2022-12-01,SR,Streetcar,0.0
2023-01-01,SR,Streetcar,0.0
2023-02-01,SR,Streetcar,0.0
2023-03-01,SR,Streetcar,5876.0
2023-04-01,SR,Streetcar,13231.0
2023-05-01,SR,Streetcar,15068.0
2023-06-01,SR,Streetcar,18644.0
2023-07-01,SR,Streetcar,22306.0
2023-08-01,SR,Streetcar,21829.0
2023-09-01,SR,Streetcar,21736.0
2023-10-01,SR,Streetcar,19983.0
2023-11-01,SR,Streetcar,19043.0
2023-12-01,SR,Streetcar,20323.0
2024-01-01,SR,Streetcar,20186.0
2024-02-01,SR,Streetcar,23498.0
2024-03-01,SR,Streetcar,26374.0
2024-04-01,SR,Streetcar,28132.0
2024-05-01,SR,Streetcar,28990.0
2024-06-01,SR,Streetcar,31136.0
2024-07-01,SR,Streetcar,36371.0
2024-08-01,SR,Streetcar,35195.0
2024-09-01,SR,Streetcar,30049.0
2024-10-01,SR,Streetcar,30718.0
2024-11-01,SR,Streetcar,25823.0
2024-12-01,SR,Streetcar,26316.0
2025-01-01,SR,Streetcar,14254.0
2025-02-01,SR,Streetcar,23210.0
2025-03-01,SR,Streetcar,29399.0
2025-04-01,SR,Streetcar,22435.0
2025-05-01,SR,Streetcar,24753.0
2025-06-01,SR,Streetcar,30249.0
2025-07-01,SR,Streetcar,35285.0
2025-08-01,SR,Streetcar,30414.0
2025-09-01,SR,Streetcar,6967.0
2025-10-01,SR,Streetcar,0.0
2025-11-01,SR,Streetcar,0.0
2025-12-01,SR,Streetcar,0.0
2026-01-01,SR,Streetcar,0.0
2026-02-01,SR,Streetcar,12559.0
